2000450,1157419,1619444,2326186,3026306,1288403,2884485,2006591,1519148,1197217,256804,2662489,2208446,931496,1407474,899951,2604539,1285836,1690160,2317990,2075107,269786,2146516,697013,2462107,2713260,2710243,3019996,2087091,2247578,868835,420429
1864121,157477,2327020,1734363,3066571,1147869,2416836,2544032,890325,101607,2561837,2295943,466958,971856,436104,1128218,2686968,140152,1934095,1099965,1415430,417877,71774,536277,2505201,592398,306035,169141,1699658,3015610,1529430,3019722
975613,2164478,2448641,1183061,815777,919378,2752640,1317237,1629839,83478,1846063,2373212,1951451,2296583,339861,2035291,2987059,1532191,1599241,2049708,253633,2566864,2131694,1920851,2907666,755303,2380508,1349617,2903284,2318845,1442132,235118
1881258,1539255,2739930,2357320,2728931,214564,2008218,1849054,1948271,977298,1469779,2588692,2265122,1889000,1375229,1420094,544532,457257,70045,1704529,692980,2058464,2024922,2122361,910491,3055488,2711963,1539650,2395823,1274736,2324717,498483
2426619,745405,975197,1763728,1526447,1141930,1257156,1242365,2868188,722932,110627,1288869,1872577,1268406,2749979,534154,2146448,107050,2241080,341905,817050,284470,972112,1484326,1224914,902961,2364151,1899566,2888188,1810319,372463,948917
2378695,1805146,1277590,1455821,1204645,1307573,2941317,189090,1999986,2060310,1881345,715781,1942147,1567321,515315,1711753,1403359,1942026,2086040,870998,996691,2433249,1803823,1146885,1669274,507375,2599488,1300241,1861235,877372,49315,2318370
1527026,104862,2722242,2064835,2877766,699167,2162154,978675,1027369,206426,1967624,2145232,1767141,1755813,2498625,1617463,1037727,3076862,2035011,2383739,2954320,1403928,1122696,2130246,1737231,156718,54536,1136756,176474,2780996,220904,1606357
1244690,1164699,1643482,1621274,2527749,2714855,1911829,1200061,1929909,2860654,2518303,2211497,1734482,1473059,1399674,1798102,2715395,564130,1849967,119155,3003913,280867,503640,1789855,327009,2583884,490550,2054698,923547,2146322,2950300,1310655
2437775,47843,1304153,2086855,2502632,1578548,248263,490811,2491225,331504,2017351,399192,1385930,3048611,1866017,1592050,1645822,2320355,224708,797597,2081728,817434,675736,541893,2009795,1611188,1588162,1490602,762442,1086428,3059117,1622876
1094854,1614830,1234560,2906885,1151160,329345,2303064,2581356,1214922,356918,1384524,1864357,1624557,2195327,93562,95131,1742498,238249,1109379,2465685,2963529,2023009,1110099,999776,843178,2313766,1279636,133855,2579561,2898069,1041148,300512
