1844440,1837429,585210,1857033,1572921,1131208,498387,281356
1665290,389656,1465517,865580,1770396,1307983,1465554,1826113
425220,983760,1639214,389656,2666190,1837439,1425752,1543785
1465554,1543785,1273567,865580,1770396,1124080,1465517,1683526
613155,1792935,208155,311793,1837429,1683526,865580,1273567
1425752,1665290,1179281,865580,389656,1172251,1350073,1639214
1683526,208155,425220,1071575,1824886,498387,1857033,1826113
1775548,2666190,1356913,717567,2751037,1206407,1172251,1069936
1179281,1071575,865580,1747928,418301,1826113,1857033,1792935
1179281,1683526,1868375,1476569,1069936,1811217,1465554,1824886
