nodes number:16
1179281,1639214,1465554,1276998,1747928,1837439,865580,1273567,983760,767495,1356913,585210,1837429,1824886,2666190,498387
1249869,208155,311793,1052985,1775548,1747928,1844440,1837429,281356,1425752,2666190,585210,767495,295887,1826113,1794378
1273567,1775548,1811217,1069936,1206407,1465517,1172251,1350073,2666190,252497,1270406,1465577,1124080,1665290,926144,1052985
281356,1069936,1270406,208155,425220,389656,1868375,1273567,1307983,295887,1052985,1356913,1465554,2975298,1350073,1276998
1665290,2666190,717567,1206407,2751037,1124080,1639214,1747928,1465517,1179281,1826113,1307983,1572921,1273567,425220,1476569
425220,2666190,1837439,767495,281356,1276998,1124080,1179281,1307983,1794378,1071575,1131208,1747928,418301,1665290,1857033
1052985,1356913,1796029,1172251,1794378,1465577,1683526,389656,1573677,767495,983760,2666190,1206407,1826113,585210,2975298
295887,1857033,1794378,1837439,1543785,1639214,1775548,1747928,1796029,1273567,389656,1206407,1069936,1465577,1826113,983760
208155,1796029,1465517,1683526,1792935,1069936,1794378,1543785,1206407,2975298,1747928,1124080,295887,865580,1172251,1476569
281356,252497,1683526,1459512,1826113,418301,983760,1543785,1425752,1206407,1071575,425220,1179281,1868375,498387,1350073
