1071575,1052985,1824886,498387,2751037,1796029,1356913,1775548,1792935,281356,1837439,1639214,1276998,1572921,1459512,1837429,1179281,1476569,1270406,1844440,1465517,1683526,311793,1206407,1350073,252497,983760,208155,585210,1465554,1131208,2666190
1307983,1837439,1543785,1124080,1270406,1639214,1794378,1273567,2975298,2666190,498387,1868375,865580,418301,1459512,1465554,1425752,1665290,717567,1131208,1844440,1796029,767495,311793,1683526,281356,1465517,1276998,1350073,983760,1071575,1179281
1307983,1459512,1811217,311793,1071575,1350073,1206407,1273567,1249869,1844440,1868375,1792935,2751037,865580,1465517,1572921,1270406,1857033,418301,295887,1770396,1465577,1465554,1775548,1172251,1543785,1276998,1052985,1069936,926144,1837439,1425752
1350073,311793,425220,2751037,1572921,252497,1249869,1868375,1307983,1824886,1665290,983760,2975298,1683526,1476569,1857033,1794378,1837429,717567,1844440,281356,1811217,1069936,389656,1172251,1052985,1543785,2666190,767495,1465517,1465554,498387
1307983,1425752,613155,1796029,1465554,1206407,208155,1124080,983760,1770396,1683526,1350073,1639214,1844440,1837439,389656,418301,425220,1465517,585210,1794378,1273567,1465577,1857033,1052985,311793,2975298,717567,1811217,1868375,1270406,1356913
1796029,498387,1639214,1071575,252497,1307983,1683526,1459512,208155,717567,1270406,2751037,1052985,311793,1465517,865580,1811217,1124080,418301,1425752,1179281,1465554,613155,1572921,1206407,2666190,1747928,1868375,1794378,1775548,2975298,1837429
865580,1796029,1276998,983760,1206407,1071575,311793,1465517,1683526,1572921,1179281,1794378,1573677,1172251,389656,295887,1868375,1249869,418301,1476569,498387,425220,1837429,1459512,1639214,1811217,2666190,717567,1665290,1747928,1837439,1350073
295887,1350073,1573677,208155,1206407,1476569,983760,613155,1052985,1796029,1124080,418301,1837429,1794378,252497,926144,1747928,1425752,1459512,1792935,1543785,1465517,1811217,767495,425220,1770396,2751037,1824886,1069936,1857033,1172251,2666190
389656,1792935,1307983,1249869,1071575,983760,425220,1573677,1826113,1796029,1179281,1837429,208155,1425752,1824886,1273567,1639214,1857033,311793,418301,1794378,1747928,1683526,585210,1465577,1775548,1770396,1465517,1459512,2975298,1868375,1350073
1276998,1857033,1249869,1465577,2666190,311793,1770396,1639214,252497,717567,208155,1270406,1071575,1425752,1792935,1844440,295887,1465554,1307983,1837429,1573677,1356913,1543785,1572921,1350073,585210,389656,1796029,1683526,926144,418301,767495
