10239,1
10472,10239
10474,10239
10556,10239
12333,10239
12429,10239
12877,10239
185751,10239
185752,10239
186616,10239
292638,10239
324686,10239
423358,10239
451344,10239
552364,10239
573053,10239
687329,10239
1232647,10239
1232737,10239
1458186,10239
1511855,10239
1993640,10239
2080735,10239
2169572,10239
2559587,10239
2560062,10239
2731341,10239
2731342,10239
2732004,10239
2732902,10239
2732903,10239
2840022,10239
2840056,10239
2842242,10239
2946196,10239
3044460,10239
3044461,10239
3044467,10239
3044475,10239
131567,1
2,131567
2157,131567
2759,131567
2787823,1
12908,2787823
2787854,1
28384,2787854
